Model,Silhouette Score,Davies-Bouldin Score,Calinski-Harabasz Score,Adjusted Rand Index,V-Measure Score
KMeans_5,0.3921260772288925,1.1137587126393669,455.1823962957777,N/A,N/A
KMeans_10,0.3953591608811121,5.15538679996869,214.07421825412354,N/A,N/A
DBSCAN,0.39246381345190495,0.999908340255047,268.1905254705919,N/A,N/A
Spectral_Clustering,0.39191672331378,1.047630215922109,454.4918367411691,N/A,N/A
