Model,MAE,MSE,RMSE,R² Score
Linear Regression,0.0022566792494110323,4.6284995143093065e-05,0.0068033076619459934,0.9852736414170795
Random Forest,0.0009258986504986837,4.454098020235845e-05,0.00667390292125668,0.9858285294388203
Gradient Boosting,0.0012561136245137507,0.00011839144377425389,0.010880783233492609,0.962331748144744
XGBoost,0.002850789263255606,0.0006410654644227159,0.025319270613955606,0.7960341169955995
LightGBM,0.0023044720040401845,0.00025133715760802095,0.01585361654664389,0.9200328076797898
