Model,MAE,MSE,RMSE,R² Score
Random Forest,0.16201609491706287,0.13731751077273446,0.37056377423155445,0.9990867210448313
Gradient Boosting,0.17443551319435818,0.10565898519513622,0.32505228071055925,0.9992972773314912
XGBoost,0.13391588689990777,0.11688674455312958,0.3418870347836103,0.9992226031236815
LightGBM,0.10157663580916498,0.06643115815495837,0.25774242598951064,0.9995581759502558
