Model,Clusters,Inertia,Silhouette Score
KMeans,2,720.8138511617194,0.56171621683344
KMeans,3,710.861153239816,0.3796584783081328
KMeans,4,353.1970376792523,0.5718977172297446
KMeans,5,283.93470903936986,0.6079763786128758
KMeans,6,268.18909921126806,0.5511289355859829
KMeans,7,260.57193916214135,0.5556920157458134
KMeans,8,204.39465298177794,0.6159211004133223
KMeans,9,189.52959619933196,0.5976272866619858
KMeans,10,186.0530458356409,0.5064195995358115
KMeans,11,183.31448497922798,0.5078519551906726
KMeans,12,179.52620908594776,0.5096806365557199
KMeans,13,171.90412862233805,0.5152336837729802
KMeans,14,168.49848323436473,0.4494964447166309
KMeans,15,161.82873256005422,0.45449481332087627
KMeans,16,152.90581752314836,0.46102017847257326
KMeans,17,151.08456477937773,0.46589120279011337
KMeans,18,146.83495494200452,0.4759866676718588
KMeans,19,144.3504972404034,0.47477824341998226
KMeans,20,141.53620957075256,0.4763137738509122
DBSCAN,1,,
